index,tweet,label
2239,@HaadeaP the word itself is a mockery .... Bae ...like abey 😣,0
877,Can't wait for my 7:30am #dental appointment tomorrow!|Oh time please speed through today! #not!,1
348,What an eventful day... #not ✌️,1
1201,The moral police & vigilante's are very quiet with every #rape. I suppose it is Indian culture then? #sarcasm #uber #DelhiRape,1
1106,Learned to play 3 string notes on the guitar #pro#not#idiot,1
1481,Funny your the broken one now Im the only one who needed saving.|#irony,1
470,"Sad I don't have a Christmas jumper, thanks @Missguided for your super fast delivery 👍 #NOT",1
3163,love taking the subway alone at 2:40am #not,1
302,Your Jedi mind tricks don't work on me service guy. |Glad I dropped the car off for the oil change instead of Av.,0
628,"#ECB #pondering #how #best #to #act, #not #whether ...: ECB pondering how best to act, not whether ... Reuters – 19... http://t.co/ve282x8yGy",0
421,Double standards are always a fun thing #not,1
352,I got tampons! #not http://t.co/lnWQtxriUZ,1
55,American Kids starting playing and now I'm super missing #summer2k14 #kennychesney,0
3198,@darrenrovell Is Jameis Winston getting paid for this photo or is #5 coincidence? #sarcasm,1
3787,2014 was the year @Fionan_b and I became Lords 👑 #watchthelordman,0
2741,If I had to chose between living in Winnipeg or never seeing the Leafs win the cup. No cup it is. #TMLtalk #Leafs,0
3506,"Feel bad, confused over NY cop controversy. That one is on camera. @michael brown @ferguson #Not so clear #Love your neighbor",0
3500,"@NintendoAmerica wait...there's a ""New Wii U""? #Sarcasm",1
113,Taking the bike through rainy and cold dark streets to the dentist. Yaaaay. #Somuchfun #NOT,1
3786,@iLGDaily: The wind is your friend http://t.co/TbbraejdP4beautiful,0
1739,"Comcast, greatest customer service on the planet #sarcasm #comcastistheworst http://t.co/0fRUac4tBv",1
2053,#Indonesia -- #Four #large #parts of #crashed #AirAsia #jet #found #on #sea #floor. http://t.co/X25ajY5qiZ via @reuters,0
862,".@toppscards I couldn't find the letter in my binder, but I did find these! http://t.co/AZ68gH8y7v",0
2107,That #moment when you don't wanna tell that person you been fuckin someone else.. Cause they might go fuck some else LOL o.O' #truth #irony,1
1829,"@reubenzj Unfortunately not, hey. Daddy didn't think his daughter'd be into gaming or FIFA. #not youraveragedaddysgirl",0
3769,@VictoriasSecret @taylorswift13 really? My respect for feminist/womens movements is through the roof. #Not!,1
2820,"@lawsondath92 @GregorRoberts0n @coach_carts @Cressy_36 @tozer_ben Come on lads, you're fucking better than this shite you keep showing",0
3688,"Like @TheOnion? Visit http://t.co/HJRCAwTQ6x for #sarcasm articles and also win a free puppy!! 1 puppy per visit, 6 puppy maximum #ATL",0
2761,"@VeIvetRose @PG1888 #Not of course, Not!",0
2203,@BillfromBendigo I'll just wait here :) :) :),0
1655,i can't believe all the shits for the past days are finally over!,0
311,Oh sprints I love you #not http://t.co/sEW8Im7i0u,1
353,"For those who CAN hear us, @cbcjones talks about NB Power's record number of outages. 7:13 #irony #transmitterproblems",1
3515,This history essay is literally shitting on me.,0
726,Just watched the last ever one tree hill. I'm an emotional wreck and it's not even 9 o'clock,0
3341,Feeling the irony of using #irony to find people ironically using the work irony wrong. #metahipster,1
1694,"Thanks to #TeamIpswich ED for making the news crew and I so welcome this morning, as they always do. #BlackFriday filming #ItWasQuiet #Irony",1
