label,tweet,Analytic,Authentic,Tone,allure,OtherP
0.0,"@USER I do n't get anywhere near £ 500 a month on UC though . I basically get told “ you get what you get , and if you do n't like it you can fuck off and die . ” One thing 's for certain , I would n't cross a puddle for the benefits I 'm on , let alone the Channel .",35.59,24.32,47.3,8.93,5.36
1.0,this just in : phobias CAN be chosen and you CAN get rid of them by just not being scared ! :smiling_face_with_hearts: / s,5.14,1.0,1.0,4.76,33.33
0.0,Payphone by Maroon 5 is actually a super sad song now that I 'm 22 & actually listen to the lyrics,69.05,7.03,20.23,5.0,5.0
0.0,hi,,,99.0,0.0,0.0
1.0,was not aware that Crocs were appropriate business casual attire .,3.8,63.35,,0.0,0.0
1.0,what i love about mine and summers work schedules is that she will finish at 8p m and then i 'll start work at 9pm and then when i get home at 7am she 'll start work at 8am :red_heart:,11.36,95.54,59.44,17.5,7.5
0.0,3rd shift down already told em bout the clowns they 're not fans,74.95,81.58,,0.0,0.0
1.0,I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking,12.09,96.32,,0.0,0.0
0.0,My crazy does n't go away . It 's here to stay .,45.12,99.0,,27.27,0.0
1.0,My work email is n't working so I can just log off for the day right ? :face_with_rolling_eyes:,29.85,12.44,,17.65,29.41
0.0,maybe i 'll shut up about wisconsin drivers when y'all stop fuckin driving like that,22.17,93.95,1.0,13.33,0.0
1.0,yeah i enjoy some oregano on a nice pasta dinner ( dumps oregano on mac n cheese ),98.55,1.63,99.0,6.25,12.5
1.0,"Man-spider . The story of a spider who 's bitten by a human and now has the powers of a human . Working in an office , wasting money on artisan coffee , and giving up his bus seat to a woman who turns out not to be pregnant , but just "" likes sandwiches you a-h * le "" . #IntoTheSpiderVerse",96.59,10.87,49.04,5.66,11.32
1.0,Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days :loudly_crying_face: tempted to quit teaching tbh,93.64,8.95,1.0,3.57,21.43
1.0,gaslight gatekeep girl boss,,,,0.0,0.0
1.0,The fact I nearly froze on my way to work this morning is definitely a sign it 's not summer anymore #freezing,32.02,99.0,,4.55,4.55
1.0,"@USER @USER Well , illegal immigrants categorically do n't get money from the government but why let a little thing like facts get in the way of a good bit of xenophobia ...",98.66,6.29,20.23,16.13,6.45
0.0,2000s songs are so infectiously rhythmic and boppy i love it,1.0,50.45,99.0,9.09,0.0
1.0,Birds are not real and you can not tell me otherwise .,1.0,95.15,,9.09,0.0
1.0,"Incredible scenes in Nottingham , as it begins to rain for the first time this hour .",98.78,93.95,97.84,13.33,0.0
0.0,"Can we appreciate how amazing vaccines are ? We 've got covid cases declining despite nightclubs being open ! If we vaccinate school kids , we might even avoid a spike once the schools reopen .",19.03,32.54,96.74,3.13,0.0
0.0,I 'm high and drinking coffee but my ADHD is still winning,1.0,99.0,99.0,16.67,0.0
1.0,I 'm just living off salads and yogurt and loving it tbh,10.19,89.39,99.0,0.0,0.0
0.0,I just heard my voice in a video and I never want to speak again,10.19,99.0,,0.0,0.0
1.0,"Omicron : Cases are going up , run for the hills .",99.0,99.0,,0.0,11.11
0.0,"Like all humans , I make some decisions that go against the best interests of myself or others . One such decision is sometimes eating too much sugar , another was consuming animal products . I would love the government to nudge me towards better decisions . #NationalFoodStrategy",64.59,99.0,87.73,11.63,2.33
1.0,"I heard it might be snowing ? ? ? Sounds fake , but okay ? ? ? Can anyone verify ? ? ?",1.0,2.93,1.0,7.69,0.0
0.0,Replace Pelosi #Nancy,,,,0.0,33.33
0.0,I was today years old when I learned what Ricky Martin looks like .,4.85,99.0,,23.08,0.0
1.0,In sunny spain at the moment ! ! ! Hows it all in england ?,97.37,99.0,,0.0,0.0
