index,label,tweet,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
0,0,@kennobish could do with someone making me a hot chocolate right now ahaha,1,13,31.07,40.06,2.93,,13,23.08,84.62,69.23,53.85,15.38,7.69,7.69,0,0,0,0,7.69,7.69,7.69,0,7.69,15.38,7.69,0,0,23.08,7.69,0,0,0,0,0,30.77,0,23.08,0,7.69,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,15.38,7.69,0,0,0,0,0,7.69,7.69,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,7.69,0
1,0,@scottjmcg they are all written out in a gold gel pen waiting! I hate how are relationship consists of twitter messaging #not #fulfilling,1,23,72.44,18.24,92.58,1,11.5,34.78,73.91,69.57,47.83,8.7,8.7,4.35,0,0,0,4.35,0,8.7,4.35,0,13.04,8.7,4.35,0,4.35,26.09,4.35,4.35,8.7,4.35,4.35,0,30.43,4.35,8.7,4.35,4.35,0,0,0,4.35,0,4.35,0,4.35,4.35,0,4.35,0,4.35,0,0,17.39,8.7,0,0,0,0,8.7,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,4.35,8.7,0,0,8.7,0,0,0,4.35,4.35,8.7,0,0,0,0,0,0,17.39,0,0,0,4.35,0,13.04,0
2,0,Is Obamacare Slowing Health Care Spending? #NOT http://t.co/gKyyRlh689 via @forbes,1,10,69.05,1,98.38,99,5,30,80,60,30,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,10,40,0,0,0,0,0,0,20,0,10,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,10,0,0,10,10,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,30,0,0,10,0,0,20,0
3,0,Sad to hear about @StuartScott passing. His family and friends are in my prayers today. #rip @espn,1,17,64.21,93.56,46.57,1,5.67,23.53,82.35,58.82,41.18,11.76,11.76,5.88,0,0,5.88,0,0,11.76,0,0,17.65,5.88,5.88,5.88,0,17.65,5.88,0,11.76,11.76,0,0,17.65,0,0,0,0,0,0,0,0,0,5.88,0,5.88,5.88,0,5.88,0,0,5.88,0,17.65,0,0,0,0,0,0,17.65,5.88,5.88,0,5.88,0,0,0,0,5.88,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.65,17.65,0,5.88,5.88,0,5.88,0,5.88,0,11.76,5.88,0,0,0,0,0,29.41,11.76,0,0,0,0,17.65,0
4,0,"I always forget that many #activists and #radicals who are most earnest look back fondly to 1918 and 1793, not 1848 or 1789. #classwar",1,24,5.64,1.71,68.87,83,12,16.67,83.33,62.5,54.17,12.5,8.33,4.17,0,0,0,0,4.17,12.5,0,16.67,4.17,4.17,8.33,12.5,4.17,12.5,8.33,8.33,0,0,0,0,20.83,4.17,12.5,0,0,0,4.17,0,8.33,4.17,4.17,4.17,0,4.17,4.17,0,0,0,0,0,4.17,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,4.17,0,4.17,4.17,0,0,4.17,0,8.33,0,0,0,0,0,0,20.83,4.17,4.17,0,0,0,12.5,0
5,0,http://t.co/TUqXSWNBuP In light of the #Murders of two NYPD Officers inspired by #IcantBreathe should... http://t.co/nMYE90O4in,1,15,99,77.41,1.91,20.23,15,26.67,80,46.67,46.67,0,0,0,0,0,0,0,0,13.33,6.67,13.33,26.67,6.67,0,0,0,6.67,0,6.67,6.67,0,0,6.67,13.33,0,13.33,6.67,0,6.67,0,0,0,0,13.33,6.67,6.67,6.67,6.67,0,0,0,0,0,13.33,6.67,0,0,6.67,0,0,6.67,0,0,0,0,13.33,0,0,13.33,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,6.67,6.67,13.33,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,33.33,20,0,0,0,0,13.33,0
6,1,🙀😱🙀😱🙀😱 #POPCORN!!!!!! 😂🎅😂🎅😂🔫🔫 bringing this at movie tuesday night!! #not http://t.co/6ucMg84g4w,1,9,66.04,1,99,,3,33.33,100,44.44,33.33,11.11,0,0,0,0,0,0,11.11,11.11,0,11.11,11.11,0,0,0,11.11,11.11,0,0,0,0,0,0,33.33,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,11.11,11.11,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,11.11,0,0,0,0,22.22,0,0,0,0,0,0,0,0,111.11,0,0,0,88.89,0,22.22,144.44
7,1,Many of the best ideas come from having fingers too fat for your keyboard. #not #nimble #not #agile,1,18,79.79,2.75,96.01,,9,11.11,88.89,72.22,55.56,5.56,5.56,0,0,5.56,0,0,0,16.67,5.56,0,16.67,5.56,5.56,0,11.11,11.11,16.67,5.56,5.56,0,5.56,0,16.67,0,16.67,5.56,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,5.56,0,0,0,0,5.56,0,0,5.56,0,0,0,0,0,0,11.11,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,5.56,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,27.78,5.56,0,0,0,0,22.22,0
8,1,Oracle on Windows 2000. This should be fun! #Not,1,9,10.19,1,1,99,3,11.11,88.89,66.67,55.56,11.11,0,0,0,0,0,0,11.11,11.11,0,11.11,11.11,22.22,0,0,11.11,22.22,11.11,0,0,0,0,0,22.22,0,22.22,0,0,11.11,0,0,11.11,0,11.11,11.11,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,11.11,0,0,11.11,0,11.11,0
9,0,@GG_Studio:Congratulations GG for giving us amazing collections for 10 yrs.In fact i was planning to do the same for u from my prospictive😊,1,25,94.04,63.73,63.35,99,25,24,84,64,52,16,16,8,4,4,0,0,0,8,4,4,24,8,0,0,0,12,4,0,8,4,4,0,12,0,8,4,0,0,0,0,4,0,12,12,0,8,8,0,0,0,0,0,12,4,4,4,0,0,0,8,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,4,8,8,0,0,0,16,4,0,0,0,0,12,4
