index,tweet,label
2338,@bigbillybmoney haha!! Noo I don't need new boob's my old ones are just fabulous 😝😝😝,0
2222,work should be fun today #NOT😒,1
1437,Monday mornings are my fave :) #sarcasm,1
362,"The Rondo, Ellis, Parsons, Dirk, Chandler starting line up would be one of my favorites in league. Mavs should go all out for Rondo.",0
642,@WorldDiaMark @RamiBaron let's #not #forget the #origin of a #diamond in #relation with #humanrights #bigdata,0
208,Waking up with a pounding headache is just what I need for this final #sarcasm,1
2116,I love when I write a tweet wrong. 😊 #sarcasm,1
653,Pediatric Grand Rounds on statin therapy and the dyslipidemia of obesity. Breakfast on offer is 2 grand platters of donuts. #irony,1
643,Sure Staff... Now Hiring. #irony http://t.co/HDgfxG7elF,1
3370,"I swear the biggest tools are those who wear a belt even though they're wearing suspenders. Pick one or the other, can't do both",0
2239,@HaadeaP the word itself is a mockery .... Bae ...like abey 😣,0
307,"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE""",0
618,Feels like we been playing against the refs most games. That was a clean Wall block that the refs took away. Ugh.,0
2679,@spen0007 I have the box set of The Complete Steptoe and Son.  That should cheer you up #not,1
2165,go subscribe @BoutItMen on youtube https://t.co/w0lhyDAexl for good music,0
2801,"Just a hunch here,but I think Steven Gerrard is leaving,possibly going to the MLS #sarcasm #hesnodeed",1
647,Somebody has filled my head with snot & used a cheese grater on the back of my throat during the night #unimpressed,0
286,@Atlantasportguy @darrenrovell @DJFJennings Just wait till Cleveland comes again! #sarcasm,1
443,@TorontoStar: NDP to introduce bill to make OHIP public #not appropriate # confidentiality,0
1205,ruling party in power#central#state#misusing their power#PM speaking only in foreign parliment#pm#not to visit out side india during session,0
2959,I'm really excited for tomorrow because that means the assignments and responsibilities of today will be over.,0
232,@Big6domino @CNN Well that's a completely well reasoned and thought out argument. You've changed my mind!!! #Ferguson #sarcasm,1
3233,Storm coming! #todayimloving #not http://t.co/hsNULfHz8f,1
2992,Fuck getting a flat tire and my car dying coming home from work at 5am. Thanks god for my friends. Great way to end/start my day #NOT,1
293,"Here we go again, thanks to all that claim to cover WVHS hoop #NOT|Highlanders beat Parkersburg 76-75 on last second shot by @alexia_paige13",1
1536,@craigcalcaterra Let me put my bet in with whoever would take action on such a thing... I'd think Oliva & Howsam should be easy.,0
3635,Why couldn't I just stay sleeping,0
1408,"@caboosemichaelj yeah. So as you can see, I have great success with the ladies! And I'm totally excited for having sex some more! #sarcasm",1
1891,"@kaist455 Oh, come on. Give her a chance with her trust worthy SNS warriors and her followers in that ""Uber-Right wing"" portal. #Sarcasm",1
1171,Lagopodous - Like a rabbit's foot!!|Not so easy to drop into conversation but you never know.,0
1170,Just snap chatting my sister a few times.. #shelovesitwhenIsendthatmany #not http://t.co/x1b1DppHFx,1
3610,"First final of the day done, only three more to go. #greatscheduling #sarcasm #incaseyoucanttell",1
1515,@PatNeshek huge congrats on signing! Couldn't be happier for you & the fam. ||How's the view from Everest? |#OriginalPatNeshekFanClubMember,0
3471,To be honest the tide was high at the beaches in #lagos and it got higher as the night crept up http://t.co/gkwKJvTrku,0
62,Loooovvveeeeeee when my phone gets wiped -.- #not,1
623,"Walking down the mall in front of a group of guys and hear ""even the momma got it"" Jesus lol everyone loves polly",0
3238,@TorontoPost of course not! Carding? What carding?,0
2583,I just love the NHS #not,1
270,Acronyms because we're cool as fuck. Judge me. http://t.co/0CK2VNqIKR,0
1482,my baby will #NOT have caps on her teeth #negative,0
1267,"@TedSkibinski @RedState @PamelaJaneVP Maybe they are going to jump in and land on something that is technically not ""the ground"". ;)",0
1783,"Wow thanks for the good vibes right before my exam, parents. #sarcasm",1
397,Marvin Lewis clearly thinks very highly of Johnny Football #not #norespect @amicsta,1
1872,@RenuGill_x someone's on the defensive...if the shoe fits 🐸☕️,0
2806,"Watching the move 'Begin Again' and the verisimilitude is overpowering, it's like I'm back in the 90s music business again.  #irony",1
2907,Well @grantolding I watched'Making of' clip about Drive Rescored. Now I see how easily composers do it! #NOT http://t.co/GkcYRuLCpM #,1
3129,@Wildsau gotta love how honest kids are. #saywhattheythink,0
949,"Kyle it won't let me @ you? But yeah, we are grown ass men with fast cars. Who gives af lol. And bring it to my room hooah? See ya in a bit.",0
3167,@InstinctFitness that's 4 steps. But I can dig it.,0
1853,@WeeRockWhisky apricots pears and boozy Belgian goodness. A winter warmer.,0
2433,"finally going to bed, definitely looking forward to waking up in 5 1/2 hours. 👍 #Not",1
3564,Here's the final episode of #minecraft #hardcore survival... We die while trying to get a sustainable food source #irony,1
335,Also it's amazing how a shower and Taco Bell can make you feel like a new person. @TacoBellProbbs,0
1314,@fausAlien i don't like yellow but most of my things are yellow. #irony hi kapitana!!! Nagaaral kmi ni @Gel_ALIENlover ASDFGHJKL HUHUHU,1
870,Yay for getting pink eye again! #not #whyme,1
259,In need of a rose winee🍷🍷,0
1582,"Breaking news! #not RT @liverpool: Mario Balotelli isn't a team player, according to Adel Taarabt http://t.co/UB48QVWkEE",1
3645,@HEELTeacher is NXT gone from Sky?,0
200,i literally love when someone throw me in at the deep end #irony #tough #life,1
146,".@ibnlive is the first to cut to ads during primetime to proudly announce that they're ""putting journalism first"". #Irony #NLprimetime",1
1000,@jordyn_eaton wants me to get hit by a bus so she can get a 4.0 #bestroomieaward #not,1
88,My #Christmas ritual...part one. #HowTheGrinchStoleChristmas http://t.co/yIJ6tiHmsM,0
699,@anamyid @i_contemplate_ @left_liberal effigies of jesus or allah..... when she herself hadnt kept any of d hindu gods #irony,1
2267,2015 prediction: Putin ditches the Ruble and adopts Bitcoin,0
563,@holyroodmandy @jimmurphymp @scottishlabour problem solved no more reading out at FMQ what someone at WM wrote #irony,0
2423,"yup, amazing how that is, isnt it? @AcePraline @TheLexZane @Eppic_Barz",0
3071,@wizkhalifa: Tried to spell beeyotch and iPhone made me spell Beyoncé. That's fire.,0
