dataset,tweet,label,roberta_on_irony_mix,roberta_on_polarity,roberta_on_sarcasm,roberta_on_sarcasm_mix,bertweet_on_irony_mix,bertweet_on_polarity,bertweet_on_sarcasm,bertweet_on_sarcasm_mix,bert_on_irony_mix,bert_on_polarity,bert_on_sarcasm,bert_on_sarcasm_mix
irony,"@USER I do n't get anywhere near £ 500 a month on UC though . I basically get told “ you get what you get , and if you do n't like it you can fuck off and die . ” One thing 's for certain , I would n't cross a puddle for the benefits I 'm on , let alone the Channel .",0,0.033263758,0.003306435,0.5698973,0.31975734,0.032858487,0.044100527,0.34261945,0.059863202,0.04986182,0.03976992,0.78361136,0.9254701
irony,this just in : phobias CAN be chosen and you CAN get rid of them by just not being scared ! :smiling_face_with_hearts: / s,1,0.08192397,0.006197928,0.73741096,0.93319184,0.08120239,0.034106113,0.07802796,0.04358216,0.019996349,0.023466226,0.4708108,0.3167864
irony,Payphone by Maroon 5 is actually a super sad song now that I 'm 22 & actually listen to the lyrics,0,0.10692309,0.003980105,0.121024646,0.09212634,0.047771286,0.032299194,0.044237535,0.030021286,0.07277253,0.64525086,0.16636854,0.23366824
irony,hi,0,0.053389203,0.005607617,0.36972466,0.2832275,0.47166163,0.2733892,0.30205646,0.26910424,0.95418257,0.9002671,0.38317865,0.4111982
irony,was not aware that Crocs were appropriate business casual attire .,1,0.0651508,0.0034258151,0.21363926,0.34145212,0.4169598,0.24942145,0.20171967,0.54264015,0.14006497,0.12826063,0.62290215,0.39571038
irony,what i love about mine and summers work schedules is that she will finish at 8p m and then i 'll start work at 9pm and then when i get home at 7am she 'll start work at 8am :red_heart:,1,0.18207058,0.004326688,0.94899684,0.98876077,0.9885449,0.9077542,0.77463114,0.9536584,0.9751032,0.9717481,0.9537733,0.78252816
irony,3rd shift down already told em bout the clowns they 're not fans,0,0.026799867,0.004565821,0.8889943,0.52954215,0.07910088,0.048498712,0.91307706,0.4714975,0.06526032,0.1417609,0.93009573,0.94804347
irony,I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking,1,0.030392952,0.0029400827,0.08856213,0.016401123,0.48245835,0.8451782,0.083645456,0.14481282,0.021566922,0.023691285,0.14066324,0.10445462
irony,My crazy does n't go away . It 's here to stay .,0,0.005803649,0.0030930748,0.12542613,0.027485516,0.092929505,0.04447325,0.11225056,0.45227036,0.022956463,0.033260506,0.0668248,0.08515885
irony,My work email is n't working so I can just log off for the day right ? :face_with_rolling_eyes:,1,0.07115505,0.0036950186,0.9190372,0.98614943,0.96525526,0.5699354,0.9591862,0.9707958,0.9648274,0.0578959,0.9684351,0.8727552
