tweet,label,index,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
"@dave26318632 I don’t get anywhere near £500 a month on UC though. I basically get told “you get what you get, and if you don’t like it you can fuck off and die.”

One thing’s for certain, I wouldn’t cross a puddle for the benefits I’m on, let alone the Channel.",0.0,197,1,51,13.06,20,32.94,50.31,17,13.73,94.12,88.24,66.67,21.57,15.69,7.84,0,7.84,0,0,5.88,9.8,7.84,5.88,13.73,9.8,7.84,7.84,5.88,27.45,5.88,3.92,0,0,0,0,19.61,0,9.8,0,0,3.92,3.92,0,3.92,0,3.92,1.96,0,0,0,0,0,0,0,1.96,11.76,1.96,0,0,0,0,1.96,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,7.84,0,0,0,1.96,0,0,9.8,5.88,0,1.96,3.92,0,0,0,1.96,1.96,7.84,0,0,0,0,0,0,27.45,5.88,5.88,0,0,9.8,5.88,0
this just in: phobias CAN be chosen and you CAN get rid of them by just not being scared! 🥰 /s,1.0,69,1,20,3.8,69.2,1,1,10,5,90,80,70,15,10,0,0,5,0,5,5,5,0,0,15,20,10,5,5,30,0,0,0,0,0,0,15,0,15,0,0,10,0,0,5,0,15,0,15,10,0,10,10,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,0,5,0,10,5
Payphone by Maroon 5 is actually a super sad song now that I’m 22 &amp; actually listen to the lyrics,0.0,341,1,20,54.7,15.75,7.03,20.23,20,15,85,65,50,10,5,5,0,0,0,0,5,15,10,10,10,10,15,0,0,15,10,0,0,0,0,0,25,0,10,0,0,0,0,10,0,0,10,5,5,5,0,5,0,0,5,0,5,5,0,0,0,0,5,0,0,0,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,0,0,0,10,0,5,0,15,0,0,0,0,0,0,15,0,0,0,0,5,10,0
hi,0.0,228,1,1,,,,99,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,100,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
was not aware that Crocs were appropriate business casual attire.,1.0,62,1,10,3.8,1,63.35,,10,20,80,60,40,10,0,0,0,0,0,0,10,10,0,0,0,20,0,0,10,20,20,0,0,0,0,0,40,0,20,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0
what i love about mine and summers work schedules is that she will finish at 8pm and then i’ll start work at 9pm and then when i get home at 7am she’ll start work at 8am ❤️,1.0,130,1,36,2.87,13.82,98.75,64,36,5.56,100,66.67,58.33,22.22,16.67,11.11,0,0,5.56,0,5.56,2.78,0,11.11,13.89,11.11,5.56,16.67,0,19.44,0,0,11.11,0,11.11,0,22.22,0,0,0,0,0,0,0,0,0,2.78,2.78,0,2.78,2.78,0,0,0,0,0,8.33,2.78,0,0,0,0,0,5.56,0,0,5.56,0,0,0,0,0,13.89,0,2.78,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,0,0,19.44,2.78,0,0,2.78,0,0,0,22.22,0,2.78,8.33,0,0,0,0,0,5.56,0,0,0,0,5.56,0,2.78
3rd shift down already told em bout the clowns they’re not fans,0.0,316,1,12,49.68,6.61,89.39,,12,8.33,58.33,58.33,50,8.33,8.33,0,0,0,0,8.33,0,16.67,8.33,8.33,8.33,8.33,8.33,0,8.33,16.67,8.33,8.33,0,0,0,0,33.33,0,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,8.33,16.67,8.33,0,0,0,0,0,0,8.33,0,0,0,0,8.33,0,0
I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking,1.0,67,1,25,12.09,1,96.32,,25,32,84,64,48,20,12,12,0,0,0,0,8,8,4,0,4,12,4,4,0,16,8,0,0,0,0,0,20,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,4,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,4,4,12,0,0,0,0,12,0,4,4,0,0,0,0,0,0,0,0,0,0,0
My crazy doesn't go away. It's here to stay.,0.0,204,1,9,1.78,1,99,,4.5,0,100,100,66.67,22.22,11.11,11.11,0,0,0,0,11.11,11.11,0,0,22.22,22.22,11.11,0,11.11,44.44,11.11,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,44.44,0,11.11,44.44,0,0,0,0,0,22.22,0,0,0,0,0,0,44.44,22.22,0,0,0,22.22,0,0
My work email isn’t working so I can just log off for the day right? 🙄,1.0,26,1,15,10.19,1,63.35,,7.5,6.67,93.33,73.33,60,13.33,13.33,13.33,0,0,0,0,0,13.33,6.67,0,13.33,13.33,13.33,6.67,6.67,20,0,6.67,13.33,0,13.33,0,20,0,13.33,0,0,6.67,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,6.67,0,0,0,0,0,6.67,0,0,6.67,13.33,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,6.67,0,13.33,0,0,0,0,0,0,13.33,0,0,6.67,0,6.67,0,6.67
