tweet,label,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
"@USER @USER @USER #whoISshe LOLOL ! !",0,1,5,,,,99,5,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,120,0,0,0,40,0,80,0
"@USER we are here to fight endlessly and change the system , atleast I am not going anywhere irrespective of result #AK4Delhi",0,1,21,29.12,16.63,99,1,21,23.81,80.95,61.9,52.38,9.52,9.52,4.76,4.76,0,0,0,0,4.76,4.76,4.76,9.52,9.52,9.52,4.76,4.76,14.29,4.76,0,4.76,4.76,0,0,28.57,0,19.05,0,9.52,0,4.76,0,4.76,0,4.76,0,4.76,0,0,0,0,0,0,0,9.52,4.76,0,0,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,14.29,0,4.76,9.52,0,0,0,9.52,0,9.52,4.76,0,0,0,0,0,14.29,0,4.76,0,0,0,9.52,0
"Woke up with my foot the size of a balloon , that 's just what I needed ..  #ouch",1,1,17,79.1,2.18,1.39,,8.5,5.88,82.35,64.71,52.94,23.53,11.76,11.76,0,0,0,0,11.76,23.53,11.76,0,11.76,0,5.88,0,0,5.88,0,5.88,0,0,0,0,5.88,0,5.88,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.65,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,29.41,11.76,5.88,0,0,5.88,5.88,0
"@USER so pissed at 2K rn ..",0,1,6,10.19,1,,1,6,0,83.33,50,50,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,33.33,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,16.67,0,0,0,50,33.33,0,0,0,0,16.67,0
The American justice system :thumbs_up: :raising_hands: :clapping_hands:,1,1,7,99,,,99,7,71.43,57.14,14.29,14.29,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,14.29,0,0,0,0,0,0,28.57,14.29,14.29,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.57,0,0,0,0,0,128.57,0
"i . e . cutting gov't spending , as Harper has done w / public sector jobs , injures the economy & multiplier effect of those jobs #cdnpoli 2/2",0,1,24,73.36,18.97,15.38,1,8,25,79.17,41.67,29.17,8.33,4.17,4.17,0,0,0,0,4.17,8.33,4.17,8.33,8.33,8.33,0,4.17,0,12.5,4.17,4.17,0,0,0,0,12.5,0,4.17,4.17,4.17,0,0,0,0,0,4.17,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,4.17,0,0,20.83,0,0,12.5,8.33,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,4.17,0,0,0,0,4.17,4.17,0,0,0,0,0,0,37.5,8.33,8.33,0,0,4.17,16.67,0
Just watched the last ever one tree hill . I 'm an emotional wreck and it 's not even 9 o'clock,0,1,20,26.1,1,89.39,,10,10,75,65,50,10,5,5,0,0,0,0,5,15,10,10,0,0,15,5,5,5,5,10,0,0,0,0,20,5,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,15,5,0,0,0,0,0,0,0,20,5,0,0,0,15,0,0
"@USER kids do n't need schools ! Schools just turn them into gay atheists , gaytheists , if you will .",1,1,17,16.49,99,12.44,,8.5,23.53,76.47,58.82,41.18,11.76,11.76,0,0,5.88,0,5.88,0,0,0,0,5.88,11.76,5.88,5.88,0,23.53,5.88,0,0,0,0,0,17.65,0,11.76,0,0,5.88,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,17.65,0,0,0,0,0,0,17.65,0,0,0,0,0,0,0,0,11.76,0,0,11.76,0,0,5.88,0,0,0,0,0,5.88,0,0,5.88,0,0,0,0,0,0,0,0,11.76,11.76,0,5.88,5.88,0,0,0,0,0,0,5.88,0,0,0,0,0,35.29,5.88,11.76,0,5.88,5.88,5.88,0
"@USER easiest CL group with two rubbish teams but we won only 1 CL game - even that lucky last minute pen  good enough #gutted",0,1,24,49.68,94.84,15.38,99,24,8.33,75,50,33.33,8.33,4.17,0,4.17,0,0,0,4.17,12.5,0,8.33,4.17,0,8.33,4.17,0,4.17,16.67,12.5,12.5,8.33,4.17,0,16.67,0,4.17,0,0,0,0,0,4.17,0,16.67,16.67,0,4.17,4.17,0,0,0,0,0,12.5,4.17,4.17,0,0,0,0,12.5,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,4.17,4.17,0,4.17,0,0,0,0,0,0,0,8.33,4.17,0,0,0,0,0,0,0,12.5,0,0,0,0,0,12.5,0
Goodie bags for 2nd grade are done ! #whatsnext ?,0,1,8,62.1,,,,4,12.5,62.5,50,50,0,0,0,0,0,0,0,0,12.5,0,12.5,12.5,25,0,0,0,25,12.5,12.5,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,37.5,0,0,12.5,12.5,0,12.5,0
